"park_name","park_long","park_lat","park_neighb","park_zipcode"
"Fishbridge Garden Dog Run",-74.0013009889404,40.7090047517763,"Lower Manhattan","10038"
"Little Bay Park Dog Run",-73.7927226728184,40.7879026470777,"North Queens","11360"
"Canine Court Dog Run",-73.8951533780436,40.8990594047252,"Kingsbridge and Riverdale","10471"
"Tompkins Square Park Dog Run",-73.9812658824408,40.7265218016173,"Lower East Side","10009"
"Dyker Beach Park Dog Run",-74.0208355629765,40.6176307316361,"Southwest Brooklyn","11228"
"Sherry Park Dog Run",-73.8987999666968,40.7414917446229,"West Queens","11377"
"Owl's Head Park Dog Run",-74.0348412155426,40.6403226948732,"Sunset Park","11220"
"Maria Hernandez Park Dog Run",-73.9230044636957,40.7036701899778,"Bushwick and Williamsburg","11237"
"Madison Square Park Dog Run",-73.9885001113153,40.7424243489491,"Gramercy Park and Murray Hill","10010"
"West Thames Street Dog Run",-74.0162824660366,40.70754066713,"Lower Manhattan","10038"
"Carl Schurz Park Large Dog Run",-73.9439881856903,40.7742357803485,"Upper East Side","10028"
"Fox Playground Dog Run",-73.8981758133683,40.8150071137261,"Hunts Point and Mott Haven","10455"
"Riverside Park Dog Run (105th St)",-73.971437528267,40.8024129046879,"Upper West Side","10024"
"Bloomingdale Park Dog Run",-74.2114095597041,40.5333337052985,"South Shore","10309"
"Soundview Park Dog Run",-73.8776536305327,40.8189981324514,"Southeast Bronx","10473"
"Riverside Park Dog Run (72nd St)",-73.9865672598754,40.7812365848144,"Upper West Side","10024"
"Cooper Park Large Dog Run",-73.9360642111607,40.7154165173824,"Greenpoint","11211"
"Highbridge Park Dog Run",-73.9248583868853,40.8559429450165,"Inwood and Washington Heights","10040"
"North End Dog Run",-74.0147188091376,40.7166918009649,"Lower Manhattan","10038"
"Veteran's Grove Dog Run",-73.8776005259043,40.7425105934131,"West Queens","11373"
"Manhattan Beach Dog Run (Oriental Boulevard)",-73.9416736459468,40.5778434905419,"Southern Brooklyn","11235"
"Frank S. Hackett Park Dog Run",-73.9055952933018,40.9013853863103,"Kingsbridge and Riverdale","10471"
"Washington Square Park Dog Run",-73.998473445944,40.7306568107556,"Chelsea and Clinton","10011"
"DeWitt Clinton Park Large Dog Run",-73.9941341051204,40.7675456952365,"Chelsea and Clinton","10019"
"Stuyvesant Square Dog Park",-73.9838065253905,40.7331030732435,"Lower East Side","10003"
"Corlears Hook Park Dog Run",-73.9795235540361,40.7118016749158,"Lower East Side","10002"
"Conference House Park Dog Run",-74.2499692016387,40.5002928992777,"South Shore","10307"
"Murray Playground Dog Run",-73.9482769967146,40.7469170310414,"Northwest Queens","11101"
"Dog Bone Run",-73.8828510264346,40.8837446022871,"Bronx Park and Fordham","10467"
"East River Esplanade Waterfront Dog Run",-74.0056279823959,40.704427651704,"Lower Manhattan","10038"
"Pier 84 Dog Run",-74.0004412854911,40.7635006518323,"Chelsea and Clinton","10018"
"St. Nicholas Park Dog Run",-73.9489032706745,40.817936221723,"Inwood and Washington Heights","10031"
"Riverside Park South Dog Run",-73.9874231784854,40.7812658871479,"Upper West Side","10023"
"Sirius Dog Run",-74.016911341648,40.7119824285762,"Lower Manhattan","10038"
"J. Hood Wright Park Dog Run",-73.9421673972861,40.8465822354979,"Inwood and Washington Heights","10033"
"Forest Park Dog Run",-73.8604102183102,40.6967358515071,"West Central Queens","11385"
"Tribeca Dog Run",-74.0121028498179,40.7161633423475,"Lower Manhattan","10007"
"Dimattina Park Dog Run - South",-74.0028565379788,40.6797748885153,"Northwest Brooklyn","11231"
"Seton Park Dog Run",-73.91571286885,40.8865433833667,"Kingsbridge and Riverdale","10471"
"Morningside Park Dog Run",-73.9592739008328,40.8046196611625,"Central Harlem","10026"
"Pelham Bay Park Dog Run",-73.8210852012431,40.8505557972969,"Southeast Bronx","10465"
"McGolrick Park Dog Run",-73.9436026990481,40.7233091286233,"Greenpoint","11222"
"Rockaway Freeway Dog Park",-73.8088968310821,40.5911295135818,"Rockaways","11693"
"Lou Lodati Dog Park",-73.9217028452999,40.7473018090855,"Northwest Queens","11104"
"DiMattina Park Dog Run - North",-74.0022126585536,40.6808686370507,"Northwest Brooklyn","11231"
"Bellevue South Park Dog Run",-73.9784081778371,40.7398815344648,"Gramercy Park and Murray Hill","10010"
"Sternberg Park Dog Run",-73.9467667424765,40.7061333346881,"Bushwick and Williamsburg","11206"
"Thomas Jefferson Park Dog Run",-73.9351053066605,40.792196684822,"East Harlem","10029"
"Carl Schurz Park Small Dog Run",-73.9439216154507,40.7738800574202,"Upper East Side","10028"
"Riverside Park Dog Run (87th St)",-73.980614202774,40.7902991940713,"Upper West Side","10024"
"Herbert Von King Park Dog Run",-73.9478423302862,40.6898577911765,"Central Brooklyn","11216"
"Underbridge Playground Dog Run",-73.8451376990071,40.7337665415193,"West Central Queens","11375"
"Pier 6 Dog Run",-74.0000365000322,40.6927319879567,"Northwest Brooklyn","11201"
"Fort Independence Playground Dog Run",-73.8945649675969,40.8817006446917,"Kingsbridge and Riverdale","10463"
"Union Square Park Dog Run",-73.9909537107756,40.7355624355024,"Lower East Side","10003"
"DeWitt Clinton Park Small Dog Run",-73.9944454198266,40.7676231829053,"Chelsea and Clinton","10019"
"Hillside Park Dog Run",-73.9945303138094,40.7012500772059,"Northwest Brooklyn","11201"
"Greenwood Playground Dog Run",-73.976340766299,40.6494014684153,"Borough Park","11218"
"Windmuller Park Dog Run",-73.9084055109435,40.746010930734,"West Queens","11377"
"Silver Lake Park Dog Run",-74.0927557986342,40.626510176678,"Stapleton and St. George","10301"
"Ewen Park Dog Run",-73.9100951491906,40.8822233555001,"Kingsbridge and Riverdale","10463"
"Riverside Park Dog Run (W. 142nd St.)",-73.9541250918869,40.8253426694934,"Central Harlem","10030"
"Washington Park Dog Run",-73.9857967412594,40.6728829464959,"Northwest Brooklyn","11215"
"Marcus Garvey Park Dog Run",-73.9431392922596,40.8029782009809,"Central Harlem","10027"
"Williamsbridge Oval Dog Run",-73.8760338009757,40.8779849219937,"Bronx Park and Fordham","10467"
"Oneida Run",-73.8735688255156,40.899410659981,"Northeast Bronx","10470"
"Coleman Oval Park Dog Run",-73.9932602485311,40.7110114234238,"Lower East Side","10002"
"Robert Moses Playground Dog Run",-73.9690219228307,40.748276206282,"Gramercy Park and Murray Hill","10017"
"Adam Yauch Park Dog Run",-73.9990945627854,40.6923185797368,"Northwest Brooklyn","11201"
"Tribeca Dog Park",-74.0123385060547,40.7215355644174,"Greenwich Village and Soho","10014"
"Fort Tryon Park Dog Run",-73.9319479428552,40.8617585983191,"Inwood and Washington Heights","10040"
"Homer's Dog Run",-73.9217497668628,40.8710353021153,"Inwood and Washington Heights","10034"
"Franz Sigel Park Dog Run",-73.9259368573102,40.82290542402,"High Bridge and Morrisania","10451"
"The Rocky Run",-73.9453365563368,40.8408849991145,"Inwood and Washington Heights","10032"
"Wolfe's Pond Park Dog Run",-74.1851300914057,40.5198866497628,"South Shore","10312"
"Peter Detmold Park Dog Run",-73.9640457415348,40.7530746035716,"Gramercy Park and Murray Hill","10022"
"Brooklyn Bridge Park Dog Run",-73.9890340233755,40.7043708121758,"Northwest Brooklyn","11201"
"McCarren Park Dog Run",-73.9528854360332,40.7201256967454,"Greenpoint","11211"
"Robin Kovary Run for Small Dogs",-73.9975154081829,40.7301861180139,"Chelsea and Clinton","10011"
"Cooper Park Small Dog Run",-73.9362454127442,40.7153920805881,"Greenpoint","11211"
"Theodore Roosevelt Park Dog Run",-73.9737195871235,40.7821513096167,"Upper West Side","10024"
"Ida Court Dog Run",-74.1873782215653,40.5382258481097,"South Shore","10312"
"Hunters Point South Park Dog Run",-73.9602401541345,40.7433764331343,"Northwest Queens","11101"
"Overlook Dog Park / The Barking Lot",-73.8366643460897,40.7104436916756,"Southwest Queens","11415"
"Cunningham Park Dog Run",-73.7755149650201,40.7266294365751,"Jamaica","11423"
"St. Mary's Park Dog Run",-73.9121818578498,40.8096848182117,"Hunts Point and Mott Haven","10454"
"Andrew Haswell Green Dog Run",-73.956811695936,40.7602528589126,"Upper East Side","10065"
